Name,Handle,Timestamp,Content
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-25T13:27:46.000Z,"Malatya’da meydana gelen depremden etkilenen tüm vatandaşlarımıza geçmiş olsun. Bakanlık olarak ASYA ve PSD ekiplerimizle vatandaşlarımızın yanındayız.

Rabbim, ülkemizi ve milletimizi her türlü afetten korusun."
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-25T09:18:29.000Z,"Ulaştırma ve Altyapı Bakanımız Sayın Abdulkadir Uraloğlu'nu ziyaret ederek, Bakanlıklarımız arası hizmet modellerimizin geliştirilmesi ve muhtemel yeni iş birliği alanlarımıza yönelik değerlendirmelerde bulunduk.

Milletimize hizmet etmek için omuz omuza çalışmaya devam edeceğiz.…"
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-26T10:06:59.000Z,"Dostumuz ve komşumuz Gürcistan ile ülkelerimiz arasındaki yakın ilişkileri daha da güçlendirmek üzere yeni bir adım daha attık. 

Gürcistan'ın Başbakan Yardımcısı ve aynı zamanda Kültür ve Spor Bakanı olan Sayın Thea Tsulukiani ile bugün 'da 2024-2028 yılları için…"
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-25T13:26:45.000Z,"Geçmiş olsun Malatya...

Malatya'da meydana gelen ve çevre illerde de hissedilen 5.2 şiddetindeki depremden etkilenen tüm hemşehrilerime ve vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum."
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-24T16:46:47.000Z,"Cumhurbaşkanımızın ev sahipliğinde  gerçekleşen Türkiye-İran Yüksek Düzeyli İş Birliği Konseyi 8. Toplantısı'na katıldık. 

Toplantının ardından İran Kültür ve İslamî İrşad Bakanı Sayın Mohammad Mehdi Esmaili ile ülkelerimiz arasında gerçekleştirilebilecek kültür, sanat ve turizm…"
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-24T14:14:57.000Z,"Ülkemizden kaçırılan eserleri ait olduğu topraklara geri getirmeye devam ediyoruz!

Ülkemizden yasadışı yollarla çıkartılan 10 pişmiş toprak eserimiz İtalyan Kültür Polisi tarafından Floransa'da yakalanarak Roma Büyükelçimiz Sayın Ömer Gücük ve Bakanlığımız yetkililerine teslim…"
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-26T10:06:59.000Z,"Dostumuz ve komşumuz Gürcistan ile ülkelerimiz arasındaki yakın ilişkileri daha da güçlendirmek üzere yeni bir adım daha attık. 

Gürcistan'ın Başbakan Yardımcısı ve aynı zamanda Kültür ve Spor Bakanı olan Sayın Thea Tsulukiani ile bugün 'da 2024-2028 yılları için…"
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-25T13:26:45.000Z,"Geçmiş olsun Malatya...

Malatya'da meydana gelen ve çevre illerde de hissedilen 5.2 şiddetindeki depremden etkilenen tüm hemşehrilerime ve vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum."
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-24T16:46:47.000Z,"Cumhurbaşkanımızın ev sahipliğinde  gerçekleşen Türkiye-İran Yüksek Düzeyli İş Birliği Konseyi 8. Toplantısı'na katıldık. 

Toplantının ardından İran Kültür ve İslamî İrşad Bakanı Sayın Mohammad Mehdi Esmaili ile ülkelerimiz arasında gerçekleştirilebilecek kültür, sanat ve turizm…"
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-22T19:19:00.000Z,AK Parti Antalya Büyükşehir Belediye Başkan Adayımız Sayın  ve Antalya Milletvekillerimiz ile şehrimizin ilçe aday adaylarıyla bir araya geldik.  #YenidenAntalya #HazırızKararlıyız
Mehmet Özhaseki,@mehmetozhaseki,2024-01-26T15:15:52.000Z,"AK Parti Genel Başkanvekilimiz Sayın Mustafa Elitaş ve Genel Başkanvekili Yardımcımız Sayın Hacı Turan ile bir araya gelerek deprem bölgesinde sürdürdüğümüz imar ve ihya çalışmaları hakkında görüş alışverişinde bulunduk. 

Cumhurbaşkanımız Sayın ’ın liderliğinde,…"
Mehmet Özhaseki,@mehmetozhaseki,2024-01-26T05:37:37.000Z,Cumamız mübarek olsun.#HayırlıCumalar
Mehmet Özhaseki,@mehmetozhaseki,2024-01-25T13:53:52.000Z,"Geçmiş olsun Malatya...

Malatya Battalgazi'de meydana gelen ve çevre illerden de hissedilen 5,2 büyüklüğündeki deprem nedeniyle vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum.

Şu ana kadar herhangi bir olumsuzluk yok. İl Müdürlüğü ekiplerimiz herhangi bir duruma karşı…"
Mehmet Özhaseki,@mehmetozhaseki,2024-01-25T09:34:04.000Z,Sizin yüzünüzdeki tebessüm dünyalara bedelBakan amcanız sizi kucak dolusu öpüyor 
Mehmet Özhaseki,@mehmetozhaseki,2024-01-24T15:50:39.000Z,"Depremden etkilenen 11 şehrimizde, ilçe ve köylerimizde tamamladığımız konutlarımızı; Şubat ayı başından itibaren toplu olarak teslim etmeye başlayacağız. 

Kahramanmaraş merkezli depremlerin yıl dönümü 6 Şubat’ta da Cumhurbaşkanımız Sayın 'ın katılımıyla, depremzede…"
Mehmet Özhaseki,@mehmetozhaseki,2024-01-26T05:37:37.000Z,Cumamız mübarek olsun.#HayırlıCumalar
Mehmet Özhaseki,@mehmetozhaseki,2024-01-25T13:53:52.000Z,"Geçmiş olsun Malatya...

Malatya Battalgazi'de meydana gelen ve çevre illerden de hissedilen 5,2 büyüklüğündeki deprem nedeniyle vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum.

Şu ana kadar herhangi bir olumsuzluk yok. İl Müdürlüğü ekiplerimiz herhangi bir duruma karşı…"
Mehmet Özhaseki,@mehmetozhaseki,2024-01-24T10:58:44.000Z,"2020'de meydana gelen Elazığ depreminde kaybettiğimiz canlarımızı rahmetle yâd ediyorum. Rabbim mekânlarını cennet, makamlarını âli eylesin.

Cumhurbaşkanımız Sayın 'ın liderliğinde; ülkemizi deprem başta olmak üzere tüm afetlere karşı hazırlıklı hâle getirmekte,…"
Mehmet Özhaseki,@mehmetozhaseki,2024-01-24T07:39:38.000Z,"Saygı, rahmet ve minnetle...

Uğradıkları hain terör saldırısı sonucu şehit düşen Diyarbakır Emniyet Müdürü Ali Gaffar Okkan'ı ve kahraman polislerimizi şehadetlerinin 23'üncü seneidevriyesinde rahmet ve dualarla yâd ediyorum.

Rabbim mekânlarını cennet, ruhlarını şad eylesin."
Mehmet Özhaseki,@mehmetozhaseki,2024-01-23T12:39:15.000Z,"Yerli ve millî ""Çığ Mobil"" uygulamamızı güncelledik.Çığ alanlarını harita üzerinde gösteren ve  Çığ alanlarına girilmesi hâlinde sesli uyarı vererek güvenli bir rota çizen ""Çığ Mobil"" uygulamamız vatandaşlarımızın hizmetinde.

Potansiyel çığ tehlikesi olan 43 ilimizde,…"
Mehmet Simsek,@memetsimsek,2024-01-26T11:17:07.000Z,"İhracatın ana belirleyicisi yurt dışı talep olup kurun önemli bir etkisi yoktur. 

2003-13 döneminde nominal sepet kur yıllık ortalama yüzde 3,3; reel ihracatımız yüzde 7,1 artmıştır. 2018-23 döneminde ise kur yüzde 36,4 artarken, ihracatımız sadece yüzde 5 artmıştır. 

Dünya…"
